DATA_ID,COLL_METHOD,GEAR_NOTES,COLL_NOTES,FIELD_PRES_METH_TYPE,FIELD_PRES_CHEM,FIELD_CHEM_PCT,FIELD_PRES_PHYS_METH,FIELD_PRES_NOTES,LAB_PRES_METH_TYPE,LAB_PRES_CHEM,LAB_CHEM_PCT,LAB_PRES_PHYS_METH,LAB_PRES_NOTES,DIET_DATA_SOURCE,DIET_ANALYSIS_METHODS,ANALYSIS_NOTES,ENTRY_DATE,ENTRY_PERSON,EDITED_DATE,DATA_EDITOR,MODIFY_DATE,DATA_MODIFIER
ACT_5A,Dredgings,Lines of dredging and fishing stations ran across plateau in an E and W direction at 10 miles intervals.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,gut content,NA,NA,11/10/2012,Amanda Yzaguirre,NA,Amanda Yzaguirre,6/15/2016,Theresa Mitchell
ACT_5A,Fishing,Trials were made at each dredging station generally in 5-10 minutes intervals btween stations during the daytime. ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,gut content,NA,NA,11/10/2012,Amanda Yzaguirre,NA,Amanda Yzaguirre,6/15/2016,Theresa Mitchell
ACT_14A,chinchorro,30 metros de longitud con 2.3 metros de caida y una abertura de 1/4 de pulgada,NA,chemical,formalin,10,NA,NA,NA,NA,NA,NA,los peces >10cm inyectaron por via anal,gut content,NA,NA,NA,Jim Jim Simons,NA,Jim Jim Simons,6/15/2016,Theresa Mitchell
ACT_2B,hook and line,NA,NA,chemical,formalin,10,NA,NA,NA,NA,NA,NA,NA,gut content,NA,NA,2/22/2014,Theresa Mitchell,2/22/2014,Theresa Mitchell,6/15/2016,Theresa Mitchell
ACT_16B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,gut content,NA,NA,9/19/2012,Theresa Mitchell,1/25/2013,Theresa Mitchell,6/15/2016,Theresa Mitchell
ACT_16B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,gut content,NA,NA,9/19/2012,Theresa Mitchell,1/25/2013,Theresa Mitchell,6/15/2016,Theresa Mitchell
ACT_17B,hook and line,NA,"It is assumed that fishes used for stomach content analysis were collected by the charter boat sports fishery in the Gulf of Mexico north of Tampa, but specifically around Panama City and Destin, FL. This is the location of the king mackerel fishery from May to October, which is the time period (spring and summer) that the author indicates the stomachs were collected.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,gut content,NA,NA,NA,Jim Jim Simons,NA,Jim Jim Simons,6/15/2016,Theresa Mitchell
ACT_34B,Gill Net,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,gut content,NA,NA,9/20/2012,Taylor Magnum,NA,Theresa Mitchell,6/15/2016,Theresa Mitchell
ACT_41B,hook and line,NA,Collected at 1955 Alabama Deep Sea Fishing Rodeo,chemical,formalin,10,NA,NA,NA,NA,NA,NA,NA,gut content,NA,NA,11/13/2013,Theresa Mitchell,1/29/2014,Theresa Mitchell,6/15/2016,Theresa Mitchell
ACT_41B,shrimp trawl,otter trawl,Collected at 1955 Alabama Deep Sea Fishing Rodeo,chemical,formalin,10,NA,NA,NA,NA,NA,NA,NA,gut content,NA,NA,11/13/2013,Theresa Mitchell,1/29/2014,Theresa Mitchell,6/15/2016,Theresa Mitchell
